Path,Lines,DecompilerHits,FlowLabels,Total
cmg/prod/client/events/cl_chess.lua,1237,1207,2,1209
cmg/prod/client/events/cl_dynamicraces.lua,2075,1203,4,1207
cmg/prod/client/events/cl_passthebomb.lua,1949,1184,10,1194
cmg/prod/client/crime/cl_graffiti.lua,1822,1157,4,1161
cmg/prod/client/misc/cl_gokart.lua,1403,1147,0,1147
cmg/prod/client/crime/cl_gangdoors.lua,1204,1133,6,1139
cmg/prod/client/misc/cl_hacking_phone.lua,940,1122,2,1124
cmg/prod/client/jobs/cl_sharedjobs.lua,1289,1094,16,1110
cmg/prod/client/misc/cl_datacrack.lua,1119,1098,6,1104
cmg/prod/client/misc/cl_crouch.lua,1685,1088,14,1102
cmg/prod/client/ui/cl_idsabovehead.lua,1178,1074,11,1085
cmg/prod/client/police/cl_cuffs.lua,1366,1075,0,1075
cmg/prod/client/util/shared/oop.lua,1068,1034,2,1036
cmg/prod/client/items/cl_fireworkboxes.lua,1234,1031,0,1031
cmg/prod/client/misc/cl_nightclub.lua,1029,1027,0,1027
cmg/prod/client/home/cl_homecctv.lua,998,1021,0,1021
cmg/prod/client/police/cl_anpr.lua,996,1002,0,1002
cmg/prod/client/items/cl_news.lua,994,997,0,997
cmg/prod/client/vehicles/cl_stancer.lua,1071,984,12,996
cmg/prod/client/events/cl_golf.lua,2385,980,7,987
cmg/prod/client/nhs/cl_casts.lua,1260,971,16,987
cmg/prod/client/misc/cl_market.lua,778,981,0,981
cmg/prod/client/police/cl_gunmods.lua,762,970,0,970
cmg/prod/client/vehicles/cl_vehicle_crush_trade.lua,683,952,2,954
cmg/prod/client/crime/cl_bankrob.lua,1883,932,12,944
cmg/prod/client/weapons/cl_weapons.lua,1218,929,4,933
cmg/prod/client/misc/cl_benchmark.lua,1136,933,0,933
cmg/prod/client/ui/cl_skin.lua,690,895,6,901
cmg/prod/client/events/cl_leaderboard.lua,894,891,2,893
cmg/prod/client/casino/cl_casinowheel.lua,1021,847,0,847
cmg/prod/client/police/cl_policeshields.lua,800,842,2,844
cmg/prod/client/nhs/cl_healthservice.lua,1222,816,21,837
cmg/prod/client/police/cl_jaildoors.lua,861,816,14,830
cmg/prod/client/police/cl_drone.lua,1540,825,4,829
cmg/prod/client/items/cl_binoculars.lua,732,803,0,803
cmg/prod/client/util/shared/shared.lua,1503,775,4,779
cmg/prod/client/misc/cl_quests.lua,913,775,2,777
cmg/prod/client/jobs/cl_royalmail.lua,823,768,6,774
cmg/prod/client/util/client/cl_util.lua,2080,759,6,765
cmg/prod/client/crime/cl_rpgangs.lua,653,755,0,755
cmg/prod/client/police/cl_pdelevator.lua,650,749,0,749
cmg/prod/client/ui/cl_progress.lua,1064,736,0,736
cmg/prod/client/casino/cl_casinomembership.lua,573,720,0,720
cmg/prod/client/crime/cl_ranks.lua,834,690,8,698
cmg/prod/client/police/cl_armour.lua,822,689,6,695
cmg/prod/client/misc/cl_backpacks.lua,790,688,0,688
cmg/prod/client/misc/cl_pushcar.lua,637,677,2,679
cmg/prod/client/misc/cl_hideintrunk.lua,802,662,6,668
cmg/prod/client/police/cl_speedgun.lua,601,660,4,664
cmg/prod/client/events/cl_dogfighting.lua,2138,647,12,659
cmg/prod/client/misc/cl_stripclothes.lua,548,659,0,659
cmg/prod/client/misc/cl_takehostage.lua,898,643,0,643
cmg/prod/client/events/cl_spellingbee.lua,1025,618,2,620
cmg/prod/client/misc/cl_loginrewards.lua,879,604,8,612
cmg/prod/client/util/client/cl_map.lua,1589,578,17,595
cmg/prod/client/misc/cl_meleecombat.lua,921,589,2,591
cmg/prod/client/crime/cl_clothingrob.lua,860,577,14,591
cmg/prod/client/events/cl_vehicleselection.lua,909,572,4,576
cmg/prod/client/misc/cl_thor.lua,958,573,0,573
cmg/prod/client/nhs/cl_bleeding.lua,952,545,24,569
cmg/prod/client/home/cl_doorbell.lua,594,552,4,556
cmg/prod/client/faction/cl_loadouts.lua,576,547,2,549
cmg/prod/client/events/cl_manhunt.lua,1145,538,4,542
cmg/prod/client/util/client/cl_rockstarmaps.lua,856,536,2,538
cmg/prod/client/items/cl_food.lua,701,528,10,538
cmg/prod/client/events/cl_spectator.lua,1168,535,2,537
cmg/prod/client/ui/cl_pausemenu.lua,773,533,2,535
cmg/prod/client/weapons/cl_blackmarket.lua,622,527,2,529
cmg/prod/client/ui/cl_ui.lua,961,524,4,528
cmg/prod/client/nhs/cl_crutches.lua,724,504,11,515
